# Regenerated by experiments/run.sh on a machine, not copied by hand.
# lopdf lopdf = { version = "0.45", default-features = false }
# mupdf mupdf = "0.8"

parser	fixture	result	note
lopdf	annotations.clean_control	reached	/Annots = [0 items]	annotations.control.pdf
lopdf	annotations.must_detect	reached	/Annots = [1 items]	annotations.positive.pdf
lopdf	digital-signature.clean_control	absent	nothing planted, nothing found	digital-signature.control.pdf
lopdf	digital-signature.must_detect	reached	/ByteRange = [4 items]	digital-signature.positive.pdf
lopdf	document-metadata.clean_control	absent	nothing planted, nothing found	document-metadata.control.pdf
lopdf	document-metadata.must_detect	reached	/Info with 7 fields	document-metadata.positive.pdf
lopdf	embedded-file.clean_control	reached	/Names in the catalog	embedded-file.control.pdf
lopdf	embedded-file.must_detect	reached	/Names in the catalog	embedded-file.positive.pdf
lopdf	encryption-state.clean_control	absent	nothing planted, nothing found	encryption-state.control.pdf
lopdf	encryption-state.must_detect	reached	/Encrypt in the trailer	encryption-state.positive.pdf
lopdf	external-references.clean_control	absent	nothing planted, nothing found	external-references.control.pdf
lopdf	external-references.must_detect	reached	/URI = "https://intranet.example.invalid/hr/q3-shortlist"	external-references.positive.pdf
lopdf	form-fields.clean_control	reached	/AcroForm in the catalog	form-fields.control.pdf
lopdf	form-fields.must_detect	reached	/AcroForm in the catalog	form-fields.positive.pdf
lopdf	image-only-page.clean_control	absent	nothing planted, nothing found	image-only-page.control.pdf
lopdf	image-only-page.must_detect	reached	/XObject = <<1 keys>>	image-only-page.positive.pdf
lopdf	incremental-update.clean_control	absent	nothing planted, nothing found	incremental-update.control.pdf
lopdf	incremental-update.must_detect	reached	1 /Prev in the file	incremental-update.positive.pdf
lopdf	invisible-text.clean_control	absent	nothing planted, nothing found	invisible-text.control.pdf
lopdf	invisible-text.must_detect	reached	11 operators; text drawn in mode 3: "Internal note: the figure below is disputed."	invisible-text.positive.pdf
lopdf	javascript-and-launch.clean_control	absent	nothing planted, nothing found	javascript-and-launch.control.pdf
lopdf	javascript-and-launch.must_detect	reached	/JavaScript = <<1 keys>>	javascript-and-launch.positive.pdf
lopdf	text-under-cover.clean_control	absent	nothing planted, nothing found	text-under-cover.control.pdf
lopdf	text-under-cover.must_detect	reached	8 operators; 1 filled rect(s) over text: "Claimant: Wendy Okonkwo"	text-under-cover.positive.pdf

--- malformed inputs (the fixtures cannot express these) ---
lopdf	dangling-reference.pdf	lenient: loaded, 6 objects [633.958µs]	strict: loaded, 6 objects [624.333µs]
lopdf	deeply-nested-array.pdf	lenient: loaded, 5 objects [1.265709ms]	strict: refused (couldn't parse input) [45.875µs]
lopdf	no-xref-table.pdf	lenient: refused (failed parsing cross reference table) [72.667µs]	strict: refused (failed parsing cross reference table) [23.708µs]
lopdf	stream-length-lies.pdf	lenient: loaded, 3 objects [419.292µs]	strict: refused (couldn't parse input) [33.375µs]
lopdf	truncated.pdf	lenient: refused (failed parsing cross reference table) [63.25µs]	strict: refused (failed parsing cross reference table) [33.791µs]
lopdf	xref-offsets-off-by-one.pdf	lenient: loaded, 0 objects [90.75µs]	strict: refused (invalid indirect object at byte offset 16) [90.292µs]

lopdf: 15 reached, 0 failed, of 24 fixtures

parser	fixture	result	note
mupdf	annotations.clean_control	reached	/Annots = [0 items]	annotations.control.pdf
mupdf	annotations.must_detect	reached	/Annots = [1 items]	annotations.positive.pdf
mupdf	digital-signature.clean_control	absent	nothing planted, nothing found	digital-signature.control.pdf
mupdf	digital-signature.must_detect	reached	/ByteRange = [4 items]	digital-signature.positive.pdf
mupdf	document-metadata.clean_control	absent	nothing planted, nothing found	document-metadata.control.pdf
mupdf	document-metadata.must_detect	reached	/Info with 0 entries	document-metadata.positive.pdf
mupdf	embedded-file.clean_control	absent	nothing planted, nothing found	embedded-file.control.pdf
mupdf	embedded-file.must_detect	reached	embedded_files() -> 1 file(s)	embedded-file.positive.pdf
mupdf	encryption-state.clean_control	absent	nothing planted, nothing found	encryption-state.control.pdf
mupdf	encryption-state.must_detect	reached	/Encrypt = <<0 keys>>	encryption-state.positive.pdf
mupdf	external-references.clean_control	absent	nothing planted, nothing found	external-references.control.pdf
mupdf	external-references.must_detect	reached	/URI = "https://intranet.example.invalid/hr/q3-shortlist"	external-references.positive.pdf
mupdf	form-fields.clean_control	reached	has_acro_form() == true	form-fields.control.pdf
mupdf	form-fields.must_detect	reached	has_acro_form() == true	form-fields.positive.pdf
mupdf	image-only-page.clean_control	absent	nothing planted, nothing found	image-only-page.control.pdf
mupdf	image-only-page.must_detect	reached	/XObject = <<0 keys>>	image-only-page.positive.pdf
mupdf	incremental-update.clean_control	absent	nothing planted, nothing found	incremental-update.control.pdf
mupdf	incremental-update.must_detect	reached	1 /Prev in the file	incremental-update.positive.pdf
mupdf	invisible-text.clean_control	absent	nothing planted, nothing found	invisible-text.control.pdf
mupdf	invisible-text.must_detect	reached	glyphs neither filled nor stroked: "Internal note: the figure below is disputed."	invisible-text.positive.pdf
mupdf	javascript-and-launch.clean_control	absent	nothing planted, nothing found	javascript-and-launch.control.pdf
mupdf	javascript-and-launch.must_detect	reached	/JavaScript = <<0 keys>>	javascript-and-launch.positive.pdf
mupdf	text-under-cover.clean_control	absent	nothing planted, nothing found	text-under-cover.control.pdf
mupdf	text-under-cover.must_detect	absent	the planted object was not reachable	text-under-cover.positive.pdf

--- malformed inputs ---
mupdf	dangling-reference.pdf	loaded, 7 objects	114.292µs
mupdf	deeply-nested-array.pdf	loaded, 7 objects	302.791µs
mupdf	no-xref-table.pdf	loaded, 7 objects	118.167µs
mupdf	stream-length-lies.pdf	loaded, 7 objects	104.625µs
mupdf	truncated.pdf	refused: MuPDF error, code: 8, message: invalid key in dict	89.084µs
mupdf	xref-offsets-off-by-one.pdf	loaded, 7 objects	82.5µs

mupdf: 13 reached, 0 failed, of 24 fixtures
